"FechadeSubasta" "FechaLiquidacion" "MontoSubastado" "MontoDemandado" "MontoAdjudicado" "RendimientoPPA"
"1" 2007-04-03 2007-04-04 400 2281.8 400 0.0957
"2" 2010-02-17 2010-02-02 300 1088 300 0.052256
"3" 2010-02-24 2010-02-02 500 575.7 500 0.052439
"4" 2023-04-12 2023-04-04 5000 9955.15 7951.91 0.123053924964862
"5" 2019-01-01 2019-01-25 2500 3635 1515 0.072694116704703
"6" 2019-02-02 2019-02-15 2500 3823 2025 0.0719300403526947
"7" 2007-03-21 2007-03-23 500 3890 500 0.0969
"8" 2007-03-28 2007-03-30 800 3038.1 800 0.0968
"9" 2007-04-11 2007-04-13 400 1818 400 0.0944
"10" 2007-04-18 2007-04-20 750 3341.2 750 0.0894
"11" 2007-04-25 2007-04-27 700 2636.7 700 0.0882
"12" 2007-05-02 2007-05-04 740 3205.8 740 0.0856
"13" 2007-05-09 2007-05-11 2600 5351.4 2600 0.0861
"14" 2007-05-16 2007-05-18 1425 5079.1 1425 0.0854
"15" 2007-05-23 2007-05-25 1850 2666.6 1850 0.0859
"16" 2007-05-30 2007-06-01 1500 3834.6 1500 0.0827
"17" 2007-06-06 2007-06-08 1000 1283.6 1000 0.0895
"18" 2007-06-13 2007-06-15 1000 1531.8 1000 0.0869
"19" 2007-06-20 2007-06-22 3000 3061.8 3000 0.0839
"20" 2007-06-27 2007-06-29 800 1326.8 800 0.083
"21" 2007-07-04 2007-07-06 1300 2864.4 1300 0.0863
"22" 2007-07-11 2007-07-13 1400 2231.9 1400 0.0834
"23" 2007-07-18 2007-07-20 1200 2088.7 1200 0.0854
"24" 2007-07-25 2007-07-27 400 4274.6 400 0.083349
"25" 2007-08-01 2007-08-03 2700 6247 2700 0.085371
"26" 2007-08-08 2007-08-10 2000 3084.5 2000 0.089254
"27" 2007-08-15 2007-08-17 1650 2657.3 1650 0.084681
"28" 2007-08-22 2007-08-24 750 1929.7 750 0.084707
"29" 2007-08-29 2007-08-31 1150 2617.4 1150 0.084455
"30" 2007-09-05 2007-09-07 1100 2016.9 1100 0.082713
